,,,,,,,,,,,,,
２ 身長の年齢別分布（2-1）,,,,,,,,,,,,,
1 男,,,,,,,,,,,,,単位 （‰）
区　　分,幼稚園,小　　　　　　　学　　　　　　　校,,,,,,中　　　　学　　　　校,,,高　　等　　学　　校,,
,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳
147,-,-,-,0.1 ,5.0 ,25.7 ,51.8 ,38.6 ,13.4 ,2.3 ,0.1 ,0.1 ,0.1 
148,-,-,-,-,3.7 ,19.0 ,47.1 ,43.7 ,14.0 ,4.1 ,0.3 ,0.2 ,0.1 
149,-,-,-,0.0 ,2.1 ,16.0 ,43.1 ,42.4 ,16.7 ,4.1 ,0.4 ,0.3 ,0.1 
150,-,-,-,0.1 ,1.7 ,14.2 ,43.6 ,46.2 ,23.2 ,5.6 ,0.5 ,0.5 ,0.1 
151,-,-,-,-,0.8 ,9.0 ,36.1 ,47.9 ,24.2 ,6.5 ,1.1 ,0.3 ,0.3 
152,-,-,-,0.0 ,0.4 ,9.2 ,30.8 ,49.2 ,26.8 ,8.3 ,2.3 ,1.1 ,0.5 
153,-,-,-,-,0.6 ,5.2 ,27.4 ,47.6 ,32.7 ,10.2 ,2.4 ,0.6 ,0.5 
154,-,-,-,0.0 ,0.1 ,4.8 ,22.0 ,46.2 ,36.1 ,13.1 ,4.1 ,1.3 ,0.7 
155,-,-,-,-,0.1 ,2.8 ,19.8 ,43.7 ,37.9 ,17.3 ,4.3 ,3.0 ,1.7 
156,-,-,-,-,0.1 ,2.2 ,16.5 ,39.5 ,45.2 ,19.6 ,7.8 ,4.0 ,2.0 
157,-,-,-,-,0.2 ,1.3 ,13.9 ,39.8 ,46.6 ,24.4 ,11.2 ,5.2 ,3.7 
158,-,-,-,-,-,0.9 ,11.7 ,40.5 ,46.2 ,29.5 ,13.5 ,6.8 ,4.7 
159,-,-,-,-,0.0 ,0.5 ,10.3 ,37.0 ,49.0 ,33.3 ,19.3 ,11.7 ,9.3 
160,-,-,-,-,-,1.1 ,7.8 ,34.7 ,55.2 ,41.6 ,24.4 ,15.4 ,14.0 
161,-,-,-,-,-,0.2 ,5.8 ,29.9 ,53.5 ,45.4 ,33.8 ,21.7 ,17.3 
162,-,-,-,-,-,0.1 ,4.3 ,28.0 ,53.5 ,50.3 ,38.0 ,27.3 ,23.0 
163,-,-,-,-,-,0.1 ,2.8 ,20.8 ,53.1 ,54.5 ,42.0 ,36.4 ,29.7 
164,-,-,-,-,-,0.0 ,3.1 ,20.5 ,47.0 ,58.9 ,49.0 ,38.3 ,37.5 
165,-,-,-,-,-,-,1.8 ,15.3 ,46.4 ,60.9 ,58.3 ,49.0 ,42.2 
166,-,-,-,-,-,0.0 ,1.1 ,13.7 ,40.6 ,63.4 ,62.1 ,56.7 ,51.5 
167,-,-,-,-,-,-,0.8 ,10.8 ,38.3 ,65.0 ,69.4 ,60.5 ,55.9 
168,-,-,-,-,-,-,0.7 ,9.4 ,31.2 ,59.6 ,67.7 ,70.1 ,60.1 
169,-,-,-,-,-,0.0 ,0.2 ,6.5 ,26.4 ,51.9 ,69.1 ,67.6 ,64.6 
170,-,-,-,-,-,-,0.1 ,4.0 ,23.7 ,53.1 ,69.9 ,69.8 ,74.6 
171,-,-,-,-,-,-,0.1 ,3.7 ,18.1 ,47.7 ,61.8 ,72.0 ,69.5 
172,-,-,-,-,-,-,0.2 ,2.8 ,14.6 ,38.0 ,58.1 ,59.0 ,65.2 
173,-,-,-,-,-,-,0.0 ,1.5 ,11.6 ,31.2 ,47.0 ,59.1 ,63.1 
174,-,-,-,-,-,-,0.0 ,1.5 ,7.8 ,22.7 ,37.0 ,50.2 ,56.5 
175,-,-,-,-,-,-,0.1 ,0.8 ,6.1 ,20.0 ,34.7 ,42.9 ,50.4 
176,-,-,-,-,-,-,0.0 ,0.8 ,5.2 ,15.3 ,26.4 ,39.6 ,45.1 
177,-,-,-,-,-,-,-,0.6 ,3.6 ,10.0 ,24.9 ,33.3 ,37.3 
178,-,-,-,-,-,-,-,0.1 ,1.8 ,7.6 ,17.1 ,24.9 ,28.4 
179,-,-,-,-,-,-,-,0.1 ,1.0 ,5.5 ,13.5 ,19.2 ,22.1 
180,-,-,-,-,-,-,-,0.2 ,0.8 ,4.5 ,9.6 ,16.2 ,21.5 
