5381733,31942 
1308265,10114 
1279594,10191 
2333899,14011 
1023119,8854 
1123891,9701 
1914039,13816 
2916976,18522 
1974255,13636 
1973115,13624 
7266534,32188 
6222666,28276 
13515271,69956 
9126214,37703 
2304264,18718 
1066328,8543 
1154008,8777 
786740,6501 
834930,6321 
2098804,15427 
2031903,14853 
3700305,26768 
7483128,39648 
1815865,12997 
1412916,8150 
2610353,16846 
8839469,45560 
5534800,32220 
1364316,7717 
963579,8457 
573441,4392 
694352,6621 
1921525,12641 
2843990,19172 
1404729,10824 
755733,5853 
976263,6962 
1385262,9988 
728276,6509 
5101556,31164 
832832,6613 
1377187,11329 
1786170,12908 
1166338,8915 
1104069,8714 
1648177,13388 
1433566,9166 
