1, 37.618701
2, 18.928393
3, 12.701632
4, 9.588091
5, 7.705400
6, 6.429406
7, 5.549433
8, 4.900798
9, 4.377016
10, 3.958925
11, 3.623781
12, 3.346900
13, 3.167929
14, 2.940630
15, 2.843574
16, 2.662884
17, 2.581215
18, 2.440608
19, 2.328046
20, 2.218622
21, 2.120616
22, 2.024770
23, 1.953235
24, 1.882768
25, 1.797696
26, 1.732814
27, 1.683534
28, 1.642748
29, 1.576569
30, 1.523814
31, 1.476492
32, 1.434996
33, 1.402918
34, 1.367047
35, 1.330541
36, 1.291245
37, 1.264991
38, 1.224811
39, 1.176543
40, 1.145432
41, 1.129638
42, 1.099452
43, 1.074790
44, 1.068429
45, 1.025306
46, 1.048923
47, 0.990623
48, 0.963003
49, 0.938717
50, 0.932606
51, 0.916349
52, 0.898390
53, 0.881083
54, 0.877360
55, 0.855393
56, 0.842794
57, 0.833591
58, 0.813816
59, 0.795636
60, 0.848452
61, 0.786197
62, 0.759935
63, 0.753913
64, 0.737276
