"","x"
"長野",79.8
"滋賀",79.47
"熊本",79.44
"福井",79.4
"山梨",79.27
"神奈川",79.26
"宮城",79.25
"石川",79.24
"千葉",79.15
"奈良",79.15
"愛知",79.11
"岐阜",79.09
